"meteorite_name","recclass","mass_g","impact_year"
"Piquetberg","H",37,1881
"Pirgunje","L6",842,1882
"Pirthalla","H6",1161,1884
"Pitts","Iron, IAB-ung",3760,1921
"Plantersville","H6",2085,1930
"Pleşcoi","L5-6",6913,2008
"Ploschkovitz","L5",39,1723
"Pnompehn","L6",96,1868
"Pohlitz","L5",3000,1819
"Pokhra","H5",350,1866
"Pollen","CM2",253.6,1942
"Pontlyfni","Winonaite",157,1931
"Portales Valley","H6",71400,1998
"Portugal","Stone-uncl",4500,1796
"Po-wang Chen","LL",665,1933
"Prambachkirchen","L6",2125,1932
"Pribram","H5",5555,1959
"Pricetown","L6",900,1893
"Puerto Lápice","Eucrite-br",500,2007
"Pulsora","H5",560,1863
"Pultusk","H5",250000,1868
"Punganaru","Stone-uncl",100,1811
"Putinga","L6",300000,1937
"Qidong","L/LL5",1275,1982
"Qingzhen","EH3",2600,1976
"Queen's Mercy","H6",7000,1925
"Quenggouk","H4",6045,1857
"Quesa","Iron, IAB-ung",10750,1898
"Quija","H",17450,1990
"Quincay","L6",65,1851
"Raco","H5",5000,1957
"Raghunathpura","Iron, IIAB",10200,1986
"Rahimyar Khan","L5",67225,1983
"Rakovka","L6",9000,1878
"Ramnagar","L6",3766,1940
"Rampurhat","LL",100,1916
"Ramsdorf","L6",4682,1958
"Ranchapur","H4",290.4,1917
